city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Santariškės;Daujoto g.;249 000 € (3 495 €/m²);16;;71,24 m²;3;1;4;2021;Brick;Central thermostat;Fully equipped;A++;Kitchen merged with room;Balcony Terrace;Furniture Conditioner Washing machine Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock;1,5 km;3,4 km;360 m;470 m;1;;
Vilnius;Lazdynėliai;Žaibo g.;"Price decreased 2,4%
155 000 € (3 566 €/m²)";1;;43,47 m²;2;1;4;2022;Brick;Central thermostat;Fully equipped;A;Private yard Internet Cable television Kitchen merged with room;Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Plastic pipes Dish washer Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;220 m;1,7 km;380 m;370 m;0;;
Vilnius;Lazdynai;Architektų g.;136 500 € (2 786 €/m²);212;;49 m²;3;1;5;1970;Block house;Central;Fully equipped;;;;;;140 m;110 m;70 m;40 m;4;;
Vilnius;Naujamiestis;Pakalnės g.;"Price decreased 1,7%
294 000 € (3 384 €/m²)";;;86,88 m²;3;3;3;1992;Brick;Central;Fully equipped;;;;;;320 m;180 m;250 m;120 m;7;;
Vilnius;Žvėrynas;Paribio g.;111 200 € (4 251 €/m²);26;;26,16 m²;1;5;6;1969;Brick;Central;Fully equipped;;New sewage system New electrical installation Kitchen merged with room;Cellar;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Plastic pipes Dish washer Shower Recuperation;Steel doors;190 m;410 m;270 m;230 m;3;;
Vilnius;Lazdynėliai;Žaibo g.;305 000 € (4 766 €/m²);5;;64 m²;3;3;4;2022;Brick;Central thermostat;Fully equipped;A;Has elevator;Storeroom Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Code door lock Video surveillance;160 m;1,8 km;390 m;360 m;0;;
Vilnius;Antakalnis;Karių Kapų g.;312 000 € (3 823 €/m²);12;14;81,62 m²;2;3;3;1999;Brick;Gas;Fully equipped;;High ceiling Two-floor flat Internet Cable television Kitchen merged with room;Storeroom Parking space;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Code door lock;180 m;310 m;530 m;520 m;2;;
Vilnius;Senamiestis;Trakų g.;"Price decreased 2%
150 000 € (5 556 €/m²)";;;27 m²;2;1;2;1940;Brick;Electric;Fully equipped;;Private entrance High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath Recuperation;Steel doors Alarm system;90 m;200 m;150 m;100 m;27;;
Vilnius;Lazdynėliai;Žaibo g.;163 000 € (3 543 €/m²);5;;46 m²;2;1;4;2022;Brick;Central thermostat;Fully equipped;;;;;;160 m;1,8 km;390 m;360 m;0;;
Vilnius;Šnipiškės;Daugėliškio g.;110 983 € (4 300 €/m²);27;13;25,81 m²;1;2;7;2025;Brick;Central thermostat;Partially equipped;A++;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Storeroom Balcony Parking space;Conditioner Floor heating system Recuperation;Steel doors Code door lock Video surveillance;340 m;540 m;420 m;120 m;13;;
Vilnius;Šnipiškės;Daugėliškio g.;434 790 € (4 500 €/m²);27;26;96,62 m²;4;4;7;2025;Brick;Central thermostat;Partially equipped;A++;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space Closet;Conditioner Floor heating system Recuperation;Steel doors Code door lock Video surveillance;340 m;540 m;420 m;120 m;13;;
Vilnius;Šnipiškės;Kintų g.;348 244 € (5 229 €/m²);5;6;66,6 m²;3;2;3;2024;Brick;Aerothermal;Partially equipped;A++;Has elevator High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space;Conditioner Floor heating system Plastic pipes Recuperation;Steel doors Code door lock Video surveillance;130 m;300 m;350 m;160 m;16;;
Vilnius;Šnipiškės;Kintų g.;175 006 € (5 324 €/m²);5;9;32,87 m²;1;2;3;2024;Brick;Aerothermal;Partially equipped;A++;Has elevator New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony;Conditioner Floor heating system Plastic pipes Recuperation;Steel doors Code door lock Video surveillance;130 m;300 m;350 m;160 m;16;;
Vilnius;Rasos;Tyzenhauzų g.;75 000 € (3 409 €/m²);;;22 m²;1;1;12;1976;Brick;Central;Fully equipped;;Kitchen merged with room;;Furniture Washing machine;Steel doors Code door lock;470 m;380 m;220 m;100 m;"23,98 €/month
~ 1,09 €/m²";;
Vilnius;Naujamiestis;Algirdo g.;77 990 € (3 714 €/m²);;;21 m²;2;4;5;1986;Brick;Central;Fully equipped;;Kitchen merged with room;;Furniture Washing machine;Steel doors Code door lock;310 m;300 m;190 m;240 m;"24,57 €/month
~ 1,17 €/m²";;
Vilnius;Šeškinė;Šeškinės Sodų g.;"Price decreased 3,3%
289 000 € (2 917 €/m²)";8;2;99,06 m²;5;1;2;2024;Brick;Aerothermal;Partially equipped;A++;Private entrance Two-floor flat Private yard Kitchen merged with room;Terrace Parking space;Floor heating system;Steel doors;580 m;580 m;580 m;610 m;0;;
Vilnius;Šeškinė;Šeškinės Sodų g.;"Price decreased 3,4%
285 000 € (2 877 €/m²)";8A;1;99,05 m²;5;1;2;2024;Brick;Aerothermal;Partially equipped;;;;;;560 m;610 m;590 m;600 m;0;;
Vilnius;Šeškinė;Šeškinės Sodų g.;"Price decreased 3,1%
310 000 € (3 115 €/m²)";8A;2;99,52 m²;5;1;2;2024;Brick;Aerothermal;Partially equipped;;Private entrance Two-floor flat Private yard Kitchen merged with room;Terrace Parking space;Floor heating system;Steel doors;560 m;610 m;590 m;600 m;0;;
Vilnius;Baltupiai;Ozo g.;179 000 € (3 809 €/m²);8A;;47 m²;2;5;8;2022;Brick;Central thermostat;Fully equipped;A;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Parking space Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;360 m;420 m;370 m;280 m;7;;
Vilnius;Naujamiestis;Vytenio g.;229 400 € (5 360 €/m²);15;;42,8 m²;2;2;5;2023;Brick;Central thermostat;Fully equipped;A+;Has elevator New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;90 m;210 m;310 m;270 m;14;;
Vilnius;Žirmūnai;Pulko g.;"Price decreased 5%
137 400 € (3 323 €/m²)";3;C-1-8;41,35 m²;2;1;7;2024;Other;Central thermostat;Partially equipped;A;;Storeroom Terrace Parking space;Floor heating system;Steel doors;230 m;580 m;390 m;190 m;7;;
Vilnius;Naujamiestis;Birželio 23-iosios g.;125 000 € (2 717 €/m²);;;46 m²;2;1;5;1964 construction, 2021 renovation;Block house;Central thermostat;Fully equipped;;;;;;90 m;340 m;340 m;290 m;18;;
Vilnius;Žirmūnai;Žirmūnų g.;115 000 € (2 588 €/m²);101;;44,43 m²;2;1;5;1967 construction, 2015 renovation;Block house;Central;Fully equipped;;Internet Cable television;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors;100 m;610 m;190 m;160 m;11;;
Vilnius;Jeruzalė;Rugių g.;164 000 € (2 340 €/m²);16;;70,1 m²;3;5;10;1995;Brick;Central;Fully equipped;;Has elevator New sewage system New electrical installation Internet Cable television;Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors;370 m;420 m;300 m;320 m;8;;
Vilnius;Šnipiškės;Raitininkų g.;278 000 € (5 650 €/m²);4;;49,2 m²;2;2;7;2020;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;520 m;420 m;250 m;180 m;"27,06 €/month
~ 0,55 €/m²";;
Vilnius;Žirmūnai;Kareivių g.;125 046 € (2 746 €/m²);2G;;45,54 m²;2;2;3;2024;Brick;Central thermostat;Partially equipped;A+;;Balcony;Recuperation;Steel doors Code door lock;270 m;610 m;400 m;250 m;7;;
Vilnius;Naujamiestis;Smolensko g.;137 158 € (3 521 €/m²);12;;38,95 m²;2;7;7;2023;Brick;Central thermostat;Partially equipped;A+;High ceiling New sewage system New electrical installation;;Floor heating system Recuperation;Steel doors Code door lock;250 m;100 m;140 m;230 m;24;;
Vilnius;Šnipiškės;Konstitucijos pr.;345 000 € (3 750 €/m²);;;92 m²;2;11;25;2004;Brick;Central thermostat;Fully equipped;;Has elevator;Balcony Terrace Closet;Washing machine Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Code door lock Guard;240 m;100 m;230 m;120 m;10;;
Vilnius;Antakalnis;Žirgo g.;520 000 € (4 298 €/m²);2;;121 m²;4;14;20;2004;Brick;Central thermostat;Fully equipped;;Has elevator;Balcony Terrace Parking space Closet;Refrigerator Stove Dish washer;Code door lock;590 m;760 m;150 m;100 m;"136,73 €/month
~ 1,13 €/m²";;
Vilnius;Fabijoniškės;Vėtrungių g.;"Price decreased 3,7%
127 800 € (2 429 €/m²)";73;;52,62 m²;2;7;9;2005;Brick;Gas;Fully equipped;;Kitchen merged with room;Balcony Parking space;Washing machine Refrigerator Kitchen furniture Stove Plastic pipes Bath;Steel doors Code door lock;640 m;570 m;200 m;140 m;10;;
Vilnius;Pilaitė;Karaliaučiaus g.;214 900 € (3 306 €/m²);29;;65 m²;3;1;4;2024;Brick;Central thermostat;Fully equipped;;;;;;650 m;650 m;620 m;410 m;4;;
Vilnius;Lazdynai;Architektų g.;150 000 € (1 923 €/m²);;;78 m²;4;4;5;1970;Block house;Central;Fully equipped;;New sewage system New electrical installation Internet;Balcony Cellar Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath;Steel doors Alarm system Code door lock;40 m;280 m;410 m;350 m;"88,92 €/month
~ 1,14 €/m²";;
Vilnius;Lazdynėliai;Lazdynėlių g.;154 000 € (3 742 €/m²);;;41,15 m²;2;1;4;2023;Brick;Central thermostat;Fully equipped;A;Internet High ceiling Kitchen merged with room Cable television;Balcony Terrace;Furniture Conditioner Washing machine;Steel doors Code door lock;320 m;1,6 km;320 m;320 m;0;;
Vilnius;Pašilaičiai;Edinburgo g.;"Price increased 2,1%
97 000 € (3 298 €/m²)";11;35;29,41 m²;1;4;7;2023;Brick;Central thermostat;Fully equipped;A;New sewage system New electrical installation Internet Kitchen merged with room;Balcony;Refrigerator Kitchen furniture Stove Dish washer Recuperation;Steel doors;890 m;1,6 km;1,1 km;170 m;1;;
Vilnius;Pašilaičiai;Edinburgo g.;"Price decreased 2,9%
167 000 € (2 398 €/m²)";9;15;69,63 m²;3;2;7;2023;Brick;Central thermostat;Fully equipped;;;;;;920 m;1,6 km;1,1 km;150 m;1;;
Vilnius;Pašilaičiai;Edinburgo g.;"Price decreased 5,9%
160 000 € (2 500 €/m²)";9;44;64 m²;3;6;7;2023;Brick;Central thermostat;Fully equipped;;;;;;920 m;1,6 km;1,1 km;150 m;1;;
Vilnius;Naujininkai;Brolių g.;109 000 € (1 912 €/m²);4;;57 m²;3;5;5;1963;Brick;Central;Fully equipped;;New sewage system New electrical installation Internet Kitchen merged with room;Balcony Cellar;Plastic pipes Bath;Steel doors Code door lock;210 m;170 m;170 m;140 m;"79,23 €/month
~ 1,39 €/m²";;
Vilnius;Naujamiestis;Švitrigailos g.;45 000 € (2 624 €/m²);7;;17,15 m²;1;4;4;1955 construction, 2024 renovation;Brick;Central;Fully equipped;;;;;;170 m;120 m;90 m;30 m;"15,95 €/month
~ 0,93 €/m²";;
Vilnius;Visoriai;Jono Kairiūkščio g.;"Price decreased 2,1%
92 000 € (1 806 €/m²)";;;50,95 m²;2;7;9;1997;Block house;Central thermostat;Not equipped;;;Balcony;;Code door lock;160 m;1,4 km;280 m;120 m;1;;
Vilnius;Viršuliškės;Viršuliškių g.;103 000 € (2 191 €/m²);;;47 m²;2;1;5;1977;Block house;Central;Fully equipped;;;Cellar;;Steel doors Code door lock;110 m;160 m;300 m;120 m;9;;
Vilnius;Lazdynai;M. Mironaitės g.;229 000 € (2 875 €/m²);22;;79,65 m²;3;2;6;2008;Brick;Central thermostat;Fully equipped;;;Balcony;Conditioner Washing machine Furniture Kitchen furniture Stove Bath;Steel doors Code door lock;640 m;970 m;520 m;90 m;0;;
Vilnius;Fabijoniškės;Liudviko Zamenhofo g.;"Price decreased 2,9%
135 999 € (2 216 €/m²)";;;61,38 m²;2;6;6;2005;Brick;Central thermostat;Fully equipped;;Private yard Kitchen merged with room;Balcony Parking space;Furniture;Steel doors Alarm system Code door lock;710 m;410 m;350 m;290 m;11;;
Vilnius;Lazdynai;Šiltnamių g.;52 800 € (2 900 €/m²);38;;18,21 m²;1;4;4;1967;Brick;Central;Fully equipped;;Kitchen merged with room;;Furniture Washing machine;Steel doors Code door lock;110 m;790 m;90 m;60 m;"18,21 €/month
~ 1,00 €/m²";;
Vilnius;Santariškės;Santariškių g.;215 000 € (3 071 €/m²);31;;70,01 m²;3;1;3;2006;Brick;Central thermostat;Fully equipped;;Internet Cable television Kitchen merged with room;Storeroom Terrace Parking space Closet;Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock;170 m;1,9 km;180 m;180 m;2;;
Vilnius;Lazdynėliai;Lietaus g.;136 900 € (4 301 €/m²);11;;31,83 m²;1;1;4;2022;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Kitchen merged with room;Storeroom Terrace Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Recuperation;Steel doors Code door lock Video surveillance;410 m;1,6 km;300 m;250 m;0;;
Vilnius;Žirmūnai;Minties g.;121 700 € (2 740 €/m²);15;;44,41 m²;2;3;5;1966;Block house;Central;Fully equipped;;New electrical installation Internet;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Code door lock;290 m;460 m;150 m;60 m;25;;
Vilnius;Pilaitė;Smalinės g.;164 900 € (2 356 €/m²);13;;70 m²;3;3;5;1993;Block house;Central;Fully equipped;;Separate bathroom and WC New sewage system New electrical installation Internet;Balcony Cellar Parking space Closet;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Plastic pipes Dish washer Bath;Steel doors Alarm system Code door lock;130 m;380 m;290 m;230 m;"88,20 €/month
~ 1,26 €/m²";;
Vilnius;Senamiestis;Subačiaus g.;"Price decreased 1,7%
58 000 € (4 143 €/m²)";45;;14 m²;1;4;4;1958;Brick;Central;Fully equipped;;High ceiling Internet Cable television Kitchen merged with room;Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;330 m;250 m;250 m;50 m;"24,08 €/month
~ 1,72 €/m²";;
Vilnius;Žirmūnai;Minties g.;"Price decreased 4,8%
100 000 € (2 262 €/m²)";46;;44,21 m²;2;3;5;1970;Block house;Central;Fully equipped;;Internet Cable television;Balcony Cellar;Furniture Refrigerator Kitchen furniture Stove Plastic pipes;Steel doors;250 m;250 m;340 m;190 m;"45,09 €/month
~ 1,02 €/m²";;
Vilnius;Antakalnis;P. Vileišio g.;"Price decreased 2,9%
170 000 € (5 107 €/m²)";;;33,29 m²;2;2;6;2024;Brick;Central thermostat;Fully equipped;A++;Kitchen merged with room;Balcony;Furniture Washing machine;Steel doors Code door lock;290 m;330 m;280 m;190 m;13;;
Vilnius;Šnipiškės;Kintų g.;180 000 € (5 000 €/m²);13;;36 m²;2;2;4;2022;Brick;Central thermostat;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Plastic pipes Dish washer Shower Recuperation;Steel doors Code door lock Video surveillance;330 m;530 m;430 m;120 m;13;;
Vilnius;Šnipiškės;Konstitucijos pr.;315 000 € (3 825 €/m²);;;82,35 m²;2;8;27;2004;Monolithic;Central thermostat;Fully equipped;;Internet High ceiling Kitchen merged with room;Balcony;Furniture Conditioner Washing machine Bath;Steel doors Alarm system Code door lock;300 m;100 m;100 m;130 m;"88,94 €/month
~ 1,08 €/m²";;
Vilnius;Šnipiškės;Konstitucijos pr.;275 000 € (3 809 €/m²);;;72,19 m²;2;16;27;2004;Monolithic;Central thermostat;Fully equipped;;Internet High ceiling Kitchen merged with room Cable television;Balcony;Furniture Washing machine Bath;Steel doors Code door lock;300 m;100 m;100 m;130 m;"77,97 €/month
~ 1,08 €/m²";;
Vilnius;Pašilaičiai;Virbeliškių g.;"Price decreased 1,5%
125 000 € (3 205 €/m²)";3;;39 m²;2;2;7;2013;Brick;Central thermostat;Fully equipped;;Kitchen merged with room;Balcony;Washing machine Shower;Steel doors Code door lock Video surveillance;470 m;370 m;80 m;120 m;"23,01 €/month
~ 0,59 €/m²";;
Vilnius;Senamiestis;Subačiaus g.;153 000 € (3 978 €/m²);;;38,46 m²;2;1;3;1940;Brick;Gas;Fully equipped;;;Cellar Closet;;;230 m;170 m;270 m;230 m;29;;
Vilnius;Lazdynai;Erfurto g.;70 000 € (2 161 €/m²);;;32,39 m²;1;3;9;1969;Block house;Central;Fully equipped;;;Balcony;;Steel doors Code door lock;90 m;110 m;380 m;170 m;"29,15 €/month
~ 0,90 €/m²";;
Vilnius;Užupis;Kreivasis skg.;340 000 € (4 857 €/m²);;;70 m²;3;1;3;2019;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Parking space;Conditioner Floor heating system Shower Recuperation;Steel doors Code door lock Video surveillance;180 m;160 m;340 m;110 m;"23,80 €/month
~ 0,34 €/m²";;
Vilnius;Justiniškės;Justiniškių g.;"Price increased 2,2%
137 000 € (2 015 €/m²)";22;1;68 m²;3;1;5;1985;Block house;Central;Fully equipped;;Separate bathroom and WC Internet;Storeroom Balcony Cellar Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer;Steel doors;300 m;280 m;110 m;180 m;"85,00 €/month
~ 1,25 €/m²";;
Vilnius;Markučiai;Kaukysos g.;"Price increased 0,4%
249 000 € (4 904 €/m²)";;;50,78 m²;2;5;6;2023;Brick;Central thermostat;Fully equipped;A+;Has elevator;Balcony Terrace Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath Recuperation;Steel doors Code door lock Video surveillance;110 m;740 m;110 m;190 m;2;;
Vilnius;Naujamiestis;Eglių g.;"Price decreased 2,8%
140 000 € (3 859 €/m²)";35;;36,28 m²;1;7;7;2017;Block house;Central thermostat;Fully equipped;B;;Balcony Parking space;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock Video surveillance;230 m;120 m;400 m;410 m;"22,86 €/month
~ 0,63 €/m²";;
Vilnius;Naujamiestis;Savanorių pr.;"Price decreased 12,6%
249 000 € (5 413 €/m²)
(interested in changing)";6A;;46 m²;2;7;9;2016;Block house;Central, central thermostat;Fully equipped;B;New sewage system Private yard Internet Kitchen merged with room;Balcony Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer;Steel doors Alarm system Code door lock Video surveillance;210 m;240 m;110 m;80 m;"23,46 €/month
~ 0,51 €/m²";;
Vilnius;Naujamiestis;Mindaugo g.;430 000 € (5 890 €/m²);;;73 m²;3;4;5;2020;Monolithic;Central thermostat, aerothermal;Fully equipped;A+;High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Recuperation;Steel doors Alarm system Code door lock Video surveillance;320 m;130 m;120 m;200 m;31;;
Vilnius;Fabijoniškės;Fabijoniškių g.;189 000 € (3 780 €/m²);5;;50 m²;2;3;7;2018;Block house;Central;Fully equipped;;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Balcony Terrace Closet;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath;Steel doors Code door lock Video surveillance;270 m;400 m;290 m;350 m;14;;
Vilnius;Žemieji Paneriai;Vaduvos g.;"Price decreased 1,3%
77 000 € (1 901 €/m²)";36;21;40,5 m²;1;1;5;1991;Block house;Central;Fully equipped;;Separate bathroom and WC New electrical installation Internet Cable television;Storeroom Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;1,9 km;220 m;530 m;140 m;"44,15 €/month
~ 1,09 €/m²";;
Vilnius;Pilaitė;I. Simonaitytės g.;196 000 € (2 781 €/m²);;;70,48 m²;2;3;4;2008;Brick;Central thermostat;Fully equipped;;;;;;220 m;220 m;290 m;300 m;6;;
Vilnius;Justiniškės;Rygos g.;103 000 € (2 007 €/m²);25;5;51,33 m²;2;2;9;1984;Block house;Central;Not equipped;;Internet;Storeroom Balcony;;Steel doors;290 m;430 m;150 m;240 m;"52,87 €/month
~ 1,03 €/m²";;
Vilnius;Naujamiestis;Vasario 16-osios g.;440 000 € (4 000 €/m²);2;;110 m²;4;5;5;1957;Brick;Gas;Partially equipped;;Flat in an attic Two-floor flat;;;;590 m;380 m;260 m;120 m;20;;
Vilnius;Naujoji Vilnia;Pergalės g.;37 000 € (2 313 €/m²);15;;16 m²;1;1;5;1972;Brick;Central;Fully equipped;;;;;;190 m;310 m;350 m;160 m;"16,64 €/month
~ 1,04 €/m²";;
Vilnius;Senamiestis;Rūdninkų g.;565 000 € (5 280 €/m²);;;107 m²;5;2;3;1940;Brick;Central;Fully equipped;;Separate bathroom and WC New sewage system Private yard Internet;Storeroom Cellar Closet;Plastic pipes;Steel doors;290 m;360 m;110 m;180 m;33;;
Vilnius;Antakalnis;Mildos g.;345 000 € (3 710 €/m²);;;93 m²;3;2;4;1981;Brick;Central, electric;Fully equipped;;Internet Cable television Kitchen merged with room;Balcony Cellar Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system;280 m;700 m;920 m;630 m;1;;
Vilnius;Naujininkai;Darbininkų g.;"Price increased 9%
103 000 € (2 368 €/m²)";21;;43,49 m²;2;2;5;1978;Brick;Central;Fully equipped;;;;;;100 m;160 m;160 m;170 m;"46,53 €/month
~ 1,07 €/m²";;
Vilnius;Senamiestis;Sodų g.;168 000 € (3 988 €/m²);11;;42,13 m²;1;1;3;1940;Brick;Gas;Fully equipped;;;;;;110 m;150 m;100 m;150 m;50;;
Vilnius;Jeruzalė;Kviečių g.;188 000 € (3 686 €/m²);2;;51 m²;2;4;6;2019;Brick;Central thermostat;Fully equipped;;Has elevator;Parking space;Washing machine Refrigerator Kitchen furniture Stove Dish washer Shower;Alarm system Code door lock;360 m;220 m;100 m;160 m;"31,11 €/month
~ 0,61 €/m²";;
Vilnius;Naujoji Vilnia;Pramonės g.;"Price decreased 0,5%
43 700 € (1 561 €/m²)";97;;28 m²;1;4;4;1970;Brick;Electric;Fully equipped;;New sewage system New electrical installation Internet Kitchen merged with room;;Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Shower;Steel doors Code door lock Video surveillance;260 m;690 m;890 m;30 m;0;Accommodation, recreation purpose;
Vilnius;Karoliniškės;Loretos Asanavičiūtės g.;"Price decreased 5,4%
87 000 € (1 790 €/m²)";44;;48,6 m²;2;8;12;1975;Block house;Central;Fully equipped;;;;;;340 m;240 m;120 m;80 m;15;;
Vilnius;Naujamiestis;Vandentiekio g.;"Price decreased 1%
98 000 € (2 370 €/m²)";40;;41,35 m²;2;4;4;1961;Brick;Central;Fully equipped;G;New sewage system New electrical installation;Storeroom Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Bath;Steel doors Code door lock;180 m;110 m;490 m;270 m;"50,03 €/month
~ 1,21 €/m²";;
Vilnius;Naujamiestis;Naugarduko g.;"Price increased 3,2%
322 000 € (5 111 €/m²)";62;;63 m²;3;7;7;2021;Monolithic;Central;Fully equipped;A+;New sewage system New electrical installation Private yard Internet Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation;Steel doors Code door lock;240 m;100 m;340 m;130 m;"8,19 €/month
~ 0,13 €/m²";;
Vilnius;Senamiestis;Jogailos g.;"Price increased 5,7%
129 200 € (4 022 €/m²)";16;;32,12 m²;1;4;4;1940;Brick;Central thermostat, aerothermal;Fully equipped;;;;;;70 m;290 m;80 m;60 m;"45,61 €/month
~ 1,42 €/m²";;
